노래제목,가수,가사,요약,카테고리,
나의 아버지 (Dad),디오 (D.O.),천천히 그댈 따라 걸어가 눈부신 노을빛이 내려와 따스한 그 뒷모습에 번져가 한없이 다정했던 그대가 쉼 없이 달려오던 사이 나도 어느새 훌쩍 자라나고  하고 싶은 얘기가 제법 많은데 조금만 더 이렇게 걷고 싶어서  더 멋지게 닮아가고 싶은데 그대에겐 난 아직 어린아이 여전히 난 그대에게 삶을 배워 더 많은 추억으로 가득할 그대의 시간들이 눈부시도록 항상 마주보며 함께하려 해요 나의 아버지  늘 한없이 단단해 보였기에 뒤돌아서 홀로 견뎌야 했을 그대 조금이나마 알 것 같은 나이가 되고  이제야 그댈 이해한다는 게 내 마음을 더 울컥하게 만들어  더 멋지게 닮아가고 싶은데 그대에겐 난 아직 어린아이 여전히 난 그대에게 삶을 배워 더 많은 추억으로 가득할 그대의 시간들이 눈부시도록 항상 마주보며 함께하려 해요  환한 그대 웃음소리와 더 깊어가는 아름다운 이 밤 오랫동안 기억에 담아 꼭 닮아있는 그대와 나  유난히 별이 많은 오늘밤 자랑스런 그댄 더 빛나네요 거친 세상보다 아름다운 채로  나의 아버지 나의 아버지 영원히 가장 눈부실 나의 아버지,"아버지를 따르며 성장한 자신을 돌아보고, 아버지와의 시간을 소중히 여기며 그의 삶을 배우고 싶은 따뜻한 마음을 표현한 노래.",가족,관계
노승과 잔나비,안예은,내가 아주 작았을 때 산타의 편지를 보고 이 할아버지도 우리 아버지만큼이나 글씨를 못 쓰는구나 했지 내가 조금 자랐을 때 한없이 커다란 세상 무엇이든 읽고 그 어디든 걸어가며 손 안에 넣어보기도 했지 자유라는 것은 방종 뒤에 온다 하늘 높은 줄 모르고 태양에 데여서 돌아오는 것이 너의 인생이야 네가 만들어가는 것이 그것이 아 아버지 당신과 꼭 닮은 딸을 낳아서 정의로운 발자국을 그대로 밟아가오 쉬었다가 또 밟아가오 즐겁게는 살되 바르게 살아라 내가 다친다고 해도 수렁에 빠진 놈을 구해주는 것이 좋은 인생이야 수많은 술잔 기울이는 그것이 아 아버지 당신과 꼭 닮은 딸을 낳아서 비뚤어진 발자국을 그대로 밟아가오 쉬었다가 또 밟아가오 아 아 열쇠 없이 감옥문을 열고서 날아가오 당신 따라 날아가오 아 아 서른하나가 된 내가 육십셋의 아버지께,"성장과 자유에 대한 깨달음, 그리고 아버지의 가르침을 따르며 자신의 삶을 걸어가고자 하는 딸의 다짐을 담은 노래.",가족,관계
아버지,임영웅,하얀 머리 뽑아 달라며 한 개 백 원이라던 그 시절 다 지나가고 이젠 흰 눈만 남았네 그렇게도 힘이 드냐며 나를 위로하시다 어느새 잠들어버린 주름만 남은 내 아버지 세상이 아무리 힘들어도 당신 있으면 견딜 것 같아 오래오래 날 지키며 그냥 곁에만 있어 주세요 활짝 웃는 모습이 어린애 같아 보여도 아프다 말도 못 하는 사람 이제는 내가 지켜줄게 어린아이로 돌아가 버린 사랑하는 내 아버지 오래오래 날 지키며 그냥 곁에만 있어 주세요 활짝 웃는 모습이 어린애 같아 보여도 아프다 말도 못 하는 사람 이제는 내가 지켜줄게 어린아이로 돌아가 버린 사랑하는 내 아버지 사랑해요 내 아버지,"세월이 흘러 변한 아버지의 모습을 애틋하게 바라보며, 그에 대한 사랑과 보살핌을 약속하는 노래.",가족,관계
아버지 사진,임재범,문득 떠오르겠죠 참 많이 울 것 같아요 미움과 그리움 사랑과 원망이 섞인 복잡한 마음이죠 차가운 길목에 서서 참 오래 기다렸었죠 그 맘을 얻으려 그 맘을 이해하려 기웃대던 시간들 다른게 보여요 당신의 나이가 되니 감당 못 하셨을 그 무게와 외로움들이 할퀴던 순간도 속은 아프셨을 그 맘 사랑이었을까요 둘이서 같이 걷던 단 한 번의 추억 있어요 언제나 분주한 뜻 모를 당신 삶 속에 난 늘 혼자 같았죠 내가 닮았네요 미워한 그 모습까지 다가 설 수 없게 멀었던 조용한 사랑 어떤 세월에도 결국 보고 싶은 대체 가족이란 뭘까요 다른게 보여요 당신의 나이가 되니 소리 못 내셨을 고뇌와 두려움들이 화내던 순간도 어쩜 사랑이던 내 맘 이제서야 꺼내요 문득 떠오르겠죠 참 많이 울 것 같아요 사진을 꼭 쥐고 집으로 돌아온 길은 복잡한 마음이죠 이별은 미움을 덮죠,"성장하며 부모님의 삶과 희생을 이해하게 되고, 그 속에서 느껴지는 복잡한 감정과 사랑, 그리고 이별의 무게를 담은 노래.",가족,관계
가족,홍재목,뜬금없이 연락해서 안부를 묻고 별일 없다 해도 걱정하는 내 달빛 물끄러미 바라보다 힘들 땐 쉬어 무심하게 한 마디 던져준 내 햇빛 해와 달이 힘이 드는 어느 까만 밤 마음 한편 가득 전해지는 아릿함 어딜 가도 볼 수 없는 그대들을 만나 어쩌면 이건 나의 큰 행운이야 캄캄한 어둠 속을 헤매는 나에게 빛이 되어 주어 항상 고마워 그 누구보다 더 소중하고 생각만 해도 눈물 나는 그대들에게 못한 게 많은 나는 늘 미안해 앞으론 힘든 일 없이 살아가자 세상에서 우리가 제일 행복하자 캄캄한 어둠 속을 헤매는 나에게 빛이 되어 주어 항상 고마워 그 누구보다 더 소중하고 생각만 해도 눈물 나는 그대들에게 못한 게 많은 나는 늘 미안해 앞으론 힘든 일 없이 살아가자 세상에서 우리가 제일 해와 달에게 빛을 나눠주고 싶어 하늘 가득 그대를 향한 등대 되어 어딜 가도 볼 수 없는 그대들을 만나 어쩌면 이건 나의 큰 행운이야 어쩌면 이건 나의 큰 행운이야,"가족과 같이 소중한 존재들에 대한 감사함과 사랑을 표현하며, 그들과의 행복한 미래를 꿈꾸는 노래.",가족,관계
작은 사람,요조,우리 집에서 조금만 걸어가면 도봉역 앞 작은 횡단보도 오늘 그 횡단보도 끝에 서있는 아빠를 보았네 우 몰래 보는 아빠는 왜 저다지도 작은지 일단 손부터 들고 흔든다 나의 작은 사람에게 엄마랑 마트에 장 보러 가면 꼭 따로따로 놀지 맘대로 돌아다니다 보면 저 멀리 사람들 사이에 우 몰래 보는 엄마는 왜 저다지도 작은지 일단 손부터 들고 흔든다 나의 작은 사람에게 우 엄마 아빠 우리는 왜 이다지도 작은지 일단 손부터 들고 흔든다 나의 작은 사람에게,"평범한 일상 속에서 부모님의 소박함과 소중함을 새삼 느끼며, 그들에게 사랑을 전하는 노래.",가족,관계
어부바,레이나,늦은 밤 오는 사람 술에 취해 온 사람 속 얘길 할 수 없는 사람 엄마를 힘들게 했던 사람 늘 안된다 했던 사람 찾을 땐 없는 사람 그래서 원망했었죠 아픈 말만 남기고 홀로 떠나왔었죠 오직 나와 앞만 보면서 살았던 날들 지친 하루 끝에서 당신의 지친 맘을 이제야 느끼네요 그 어린 날 선명했던 그 가을날 우리 딸 업어보자 부끄러움에 왜 다 큰 나를 업어 한 말 뒤에 더 크면 못 업는다 했었는데 그 마지막 아빠의 어부바 정말 마지막일 줄 그때 난 몰랐어요 다 자라서 혼자 힘들었던 당신의 마음을 내가 업어줄게요 끝까지 날 믿어주는 사람 속 얘길 안 해도 아는 사람 우릴 가장 사랑하는 사람 그때 아빠 나이가 서른 우리가 생겼고 불안한 나의 첫걸음 걱정돼 보이셨어 이유 없이 터지는 울음에 늘 안아주셨고 그래서 사진 속 팔은 항상 젖어 있었어 Grown up so fast 자꾸 말대꾸를 해 내 나쁜 버릇의 벌은 어른인 당신이 받네 난 원해 boy cash hang out 쟤는 누굴 닮았녜 이제 나의 나이 서른 아직 어른이 못 돼 미안해 어린 시절 끝없이 반복한 내 질문 늘 처음처럼 답해 줬는데 지금은 한 번의 질문 뭘 했는지 마음의 짐 난 관심도 없이 피곤해 쾅 닫아버렸던 문 아빨 보고 내가 돈 버니 돈에 눈이 멀었데 그런 말 한 놈들은 딸 같다는 말로 손을 쓰던데 나 지금 여기에 존재할 수 있는 건 승패 에 상관없이 아빤 날 믿어줬기 때문에 그 어린 날 선명했던 그 가을날 우리 딸 업어보자 부끄러움에 왜 다 큰 나를 업어 한 말 뒤에 더 크면 못 업는다 했었는데 그 마지막 아빠의 어부바 정말 마지막일 줄 그때 난 몰랐어요 다 자라서 혼자 힘들었던 당신의 마음을 내가 업어줄게요 끝까지 날 믿어주는 사람 속 얘길 안 해도 아는 사람 우릴 가장 사랑하는 사람 끝까지 날 믿어주는 사람 속 얘길 안 해도 아는 사람 우릴 가장 사랑하는 사람,"어려웠던 아버지와의 관계를 회상하며, 성장한 후 아버지의 희생과 사랑을 이해하고 그에 대한 감사를 표현하는 노래.",가족,관계
서울역에서 출발,정밀아,아침 일찍 걸려오는 전화 소리에 걱정 가득 질문도 가득 어디 멀리 노래하러 갔었다더니 그래 집에는 언제 온 거니 글쎄 밤 열두시 넘었는데 잘 모르겠네 아주 늦은 밤은 아니었어요 가게들은 문을 닫고 텅 빈 역 안엔 대낮같이 불만 켜져 있었어 택시를 기다리는 사람 많아 이 추운 날에 고생할 뻔했는데 이제 이사하고 난 뒤로는 염려 없어요 집에까지 금세 걸어왔어요 근데 엄마 혹시 그날이 생각나세요 내가 혼자 대학 시험 보러 온 날 옛날 사람 봇짐 메고 한양 가듯이 나도 그런 모양이었잖아요 그날 밤 내가 걸어 나온 서울역 건물은 이제 근사하게 변했는데요 영화에나 나올듯한 그런 모습에 볼 때마다 사진에 담게 됩니다 엄마 나는 대학 가면 그림 그려서 멋진 화가가 될 줄 알았지 허나 딴짓을 아주 열심히 하였더만은 이젠 노래하며 잘 살아갑니다 엄마 요즘 고향 가는 기차는 말야 아주 좋아 빠르고 세련됐어요 서울역에서 출발하고 두 시간 남짓이면 우리 살던 동네에 도착하잖아 내가 고등학교 내내 친하던 그 친구 있지 걔도 지금 서울 살아요 지하철 4호선 타고 서울역에서 출발하면은 한 시간이면 주희네 집이야 서울역에서 출발한 내 스무 살은 한 백 번은 변한 것 같아 그게 뭐 어떻다는 것은 아니고 그냥 그랬구나 하는 거예요 봄 가고 아주 여름 오기 전 언제 바다에 가보려고 해 서울역에서 출발하는 기차를 타고 푸른 바다에 가보려고 해 서울역에서 출발하는 기차를 타고 푸른 바다에 가보려고 해 푸른 바다에 가보려고 해 서울역에서 출발,"어머니와의 전화 대화를 통해 과거와 현재의 변화를 회상하며, 서울역에서 시작된 삶의 여정과 꿈에 대한 생각을 담은 노래.",가족,관계
아버지(Father),정홍일,아버지 왜 그리 저를 미워했나요 어리고 어렸던 저를 당신을 사랑하지 않은 건 아닌데 너무나 힘들었어요 시간은 너무나 빨리 흘러서 이제는 무의미한 그 세월을 지금은 이해하고 싶어요 내가 몰랐던 당신의 외로움마저 아버지 내가 모르는 힘겨운 일들이 얼마나 많았었는지 당신이 감당하기 어려워 울었던 날들이 얼마나 많았는지 시간은 너무나 빨리 흘러서 이제는 무의미한 그 세월을 지금은 이해하고 싶어요 내가 몰랐던 당신의 외로움마저 아버지 시간이 한참 지나 저에게 미안하다 말했던 그 날 당신을 사랑한 내 마음 깊숙이 두 손 잡고 같이 울던 그 날을,"과거에 아버지와의 어려웠던 관계를 이해하려 하며, 시간이 흘러 서로의 마음을 나누고 용서하는 과정을 그린 노래.",가족,관계
가족사진,김진호 (SG워너비),바쁘게 살아온 당신의 젊음에 의미를 더해줄 아이가 생기고 그날에 찍었던 가족 사진속에 설레는 웃음은 빛바래 가지만 어른이 되어서 현실에 던져진 나는 철이없는 아들이 되어서 이곳저곳에서 깨지고 또 일어서다 외로운 어느날 꺼내본 사진속 아빠를 닮아있네 내 젊음 어느새 기울어 갈때쯤 그제야 보이는 당신의 날들이 가족사진속에 미소띈 젊은 아가씨에 꽃피던 시절은 나에게 다시 돌아와서 나를 꽃피우기 위해 거름이 되어버렸던 그을린 그 시간들을 내가 깨끗이 모아서 당신의 웃음 꽃 피우길 피우길 피우길 피우길 피우길,"가족 사진을 통해 부모님의 젊음과 희생을 회상하며, 그들의 사랑과 헌신이 자신의 삶에 꽃을 피우게 한 것에 대한 감사를 표현하는 노래.",가족,관계
엄마로 산다는 것은,이설아,늦은 밤 선잠에서 깨어 현관문 열리는 소리에 부시시한 얼굴 아들 밥은 먹었느냐 피곤하니 쉬어야겠다며 짜증 섞인 말투로 방문 휙 닫고 나면 들고 오는 과일 한 접시 엄마도 소녀일 때가 엄마도 나만할 때가 엄마도 아리따웠던 때가 있었겠지 그 모든 걸 다 버리고 세상에서 가장 강한 존재 엄마 엄마로 산다는 것은 아프지 말거라 그거면 됐다,"늦은 밤 귀가하는 아들을 기다리는 엄마의 모습을 통해 엄마의 사랑과 헌신, 그리고 그녀의 젊은 시절에 대한 상상을 담은 노래.",가족,관계
그대에게,oceanfromtheblue,Oh I see 이제라도 보이는 것들에 감사해 그대에게 그대에게 Oh 그댈 만나 많이 밝아졌어요 얼굴이 당기도록 웃어도 봐요 조금 꽉 잡아도 돼요 아플 정도는 아니에요 기댈수록 기대하게 만들어 아무것도 비교할 수 없기에 오직 남는 건 그대 하나야 난 알면 알수록 그대가 알던 내가 아닌 모습이 싫지만 그럴수록 기대하게 만들어 Oh I see 이제라도 보이는 것들에 감사해 그대에게 그대에게 Oh,"사랑하는 사람과의 관계를 통해 밝아진 삶과 서로에 대한 감사함, 그리고 깊어지는 애정을 표현하는 노래.",가족,관계
My Old Man,homezone,"내가 내는 나의 목소리가 당신을 점점 닮아가네요 그만큼 평범하지만 수많은 의미를 지닌 마법 같은 말인가 봐 가족이란 말은 늘 그렇게 날 감싸네요 가끔은 좀 아리기도 해요 당신의 등을 바라볼 때면 혹시 그대도 같은 마음일까요 To you, my old man 이제는 알 것만 같아 당신의 마음속엔 아직 작은 아이 같은 내가 보이네요 To you, my old man 걱정은 내려놓아요 나는 잘하고 있고 아프지도 않으니 오늘 밤은 꼭 편히 누워요 잘 봐요 내가 노래를 부르면 이젠 사람들 따라 불러줘 솔직히 아직은 좀 부족해 보일테지만 기다려 줄래요 오래 걸리진 않을 거에요 그대라는 버팀목이 있기에 넘어진 상처가 아파도 이제 나는 울지 않아요 To you, my old man 이제는 알 것만 같아 당신의 마음속엔 아직 작은 아이 같은 내가 보이네요 To you, my old man 걱정은 내려놓아요 나는 잘하고 있고 아프지도 않으니 오늘 밤은 꼭 편히 누워요","부모님에 대한 애정과 감사를 표현하며, 그들의 사랑과 지지 속에서 성장한 자신을 묘사하는 노래.",가족,관계
